target,layout,timing,model,rows,positive_rate,log_loss,log_loss_improvement_vs_previous,brier,brier_improvement_vs_previous,roc_auc,pr_auc,pr_auc_gain_vs_previous,ece
box_entry,Start Context,Prospective,Logistic Regression,9685,0.31595250387196694,0.5531520755222079,,0.1847041215754072,,0.6887654211370082,0.5816484774001993,,0.02617067486945598
box_entry,Context + Attack Style,Retrospective,Logistic Regression,9685,0.31595250387196694,0.5097580360286708,0.04339403949353715,0.17192092974683826,0.012783191828568935,0.7691378221728943,0.6177136248464608,0.036065147446261436,0.03965853960244475
box_entry,Context + Both Styles,Retrospective,Logistic Regression,9685,0.31595250387196694,0.4784001902998588,0.03135784572881195,0.1592914867303751,0.012629443016463154,0.8045282772228389,0.6776081360398434,0.05989451119338263,0.019528839069865668
box_entry,Tactical + Shape,Retrospective,Logistic Regression,9685,0.31595250387196694,0.36712847885027877,0.11127171144958004,0.11655481521821413,0.04273667151216097,0.8982185719570848,0.8183949070962803,0.1407867710564369,0.012558205663088545
box_entry,Player-Aware,Retrospective,Logistic Regression,9685,0.31595250387196694,0.3983687515263513,-0.031240272676072545,0.127361426829509,-0.010806611611294856,0.8814347021827599,0.7884316222520986,-0.029963284844181648,0.028981090936480266
shot,Start Context,Prospective,Logistic Regression,9685,0.1246257098606092,0.35383667685924824,,0.10308182792051941,,0.6641777450990165,0.24406432881830847,,0.011622484252209481
shot,Context + Attack Style,Retrospective,Logistic Regression,9685,0.1246257098606092,0.34572971797739244,0.008106958881855808,0.10308518949446116,-3.36157394174863e-06,0.7154389850195633,0.2434059220723594,-0.0006584067459490806,0.01450196715971083
shot,Context + Both Styles,Retrospective,Logistic Regression,9685,0.1246257098606092,0.3261191132256526,0.019610604751739813,0.09812810594824391,0.004957083546217253,0.7667515786753883,0.29715785313177995,0.053751931059420555,0.011080266086914217
shot,Tactical + Shape,Retrospective,Logistic Regression,9685,0.1246257098606092,0.2557752445435298,0.07034386868212283,0.08018256673185511,0.017945539216388792,0.8831370750905946,0.5134308161825354,0.21627296305075544,0.009395388586309887
shot,Player-Aware,Retrospective,Logistic Regression,9685,0.1246257098606092,0.2810655058863244,-0.025290261342794607,0.08799461618849115,-0.007812049456636036,0.8599475654420534,0.4623278309079639,-0.051102985274571466,0.02921608311919438
